customer_id,age,tenure_months,num_products,monthly_charges,avg_monthly_gb,support_calls,has_tech_support,paperless_billing,contract_type,internet_service,payment_method,monthly_spend,churn
C00001,61,14,2,46.17,12.0,1,1,1,Month-to-Month,DSL,Electronic Check,81.53,0
C00002,61,72,3,44.7,14.3,2,0,1,Month-to-Month,None,Mailed Check,118.52,0
C00003,55,39,3,110.63,9.3,2,0,0,Month-to-Month,None,Credit Card,316.41,0
C00004,43,27,1,44.95,9.8,1,0,1,Month-to-Month,Fiber,Credit Card,45.01,0
C00005,44,5,1,47.19,21.3,4,0,0,Month-to-Month,None,Electronic Check,69.24,1
C00006,78,5,1,95.94,13.0,1,0,1,One Year,Fiber,Electronic Check,106.47,0
C00007,62,1,1,64.97,44.4,2,0,1,One Year,Fiber,Mailed Check,84.04,0
C00008,33,60,2,97.67,12.5,3,0,1,One Year,None,Mailed Check,185.11,0
C00009,63,27,2,26.54,8.3,0,1,0,One Year,None,Bank Transfer,46.76,0
C00010,24,36,1,68.76,7.3,2,1,1,Month-to-Month,DSL,Credit Card,76.11,0
C00011,49,1,1,23.36,19.5,1,1,1,Month-to-Month,DSL,Mailed Check,27.72,0
C00012,78,72,1,26.27,11.8,1,1,1,Month-to-Month,None,Electronic Check,16.04,0
C00013,42,53,2,110.64,33.8,1,0,1,Two Year,DSL,Credit Card,225.28,0
C00014,48,7,1,33.92,7.4,1,0,0,Month-to-Month,None,Electronic Check,38.59,0
C00015,33,6,2,73.24,23.4,2,0,1,Month-to-Month,DSL,Credit Card,139.41,0
C00016,72,6,1,61.11,29.0,2,1,1,One Year,None,Bank Transfer,71.62,1
C00017,58,10,3,54.73,18.8,1,1,1,Month-to-Month,None,Credit Card,157.43,0
C00018,75,22,3,109.98,10.1,2,1,1,Two Year,Fiber,Electronic Check,313.82,0
C00019,31,16,1,22.18,15.9,3,0,1,Two Year,None,Electronic Check,19.86,0
C00020,42,10,1,86.38,6.8,2,0,1,Month-to-Month,DSL,Mailed Check,93.06,0
C00021,79,28,2,116.34,16.5,2,1,0,Month-to-Month,Fiber,Mailed Check,228.3,0
C00022,47,4,1,76.02,5.9,3,0,1,Month-to-Month,DSL,Electronic Check,66.24,0
C00023,73,10,2,113.68,35.3,1,1,1,One Year,Fiber,Credit Card,225.64,0
C00024,24,13,3,25.23,51.3,1,1,1,Month-to-Month,DSL,Credit Card,98.15,0
C00025,29,18,2,61.88,9.5,2,1,1,One Year,None,Bank Transfer,139.96,0
C00026,20,46,3,46.02,12.9,0,1,0,One Year,Fiber,Electronic Check,124.46,0
C00027,44,6,1,93.08,32.2,2,1,1,Month-to-Month,Fiber,Bank Transfer,84.47,1
C00028,63,21,1,118.13,8.0,0,1,0,Month-to-Month,None,Bank Transfer,94.24,0
C00029,36,26,2,45.65,22.3,1,1,0,One Year,Fiber,Mailed Check,95.01,0
C00030,60,1,1,85.42,16.8,0,0,0,Month-to-Month,Fiber,Credit Card,93.48,1
C00031,54,28,2,39.81,5.7,1,1,1,Two Year,Fiber,Electronic Check,67.39,0
C00032,72,5,1,76.53,22.4,1,1,1,Month-to-Month,DSL,Electronic Check,78.55,0
C00033,62,2,1,66.39,12.5,2,0,0,One Year,DSL,Electronic Check,62.46,0
C00034,77,72,4,117.2,13.4,1,0,1,Two Year,None,Credit Card,419.48,0
C00035,59,72,1,80.85,0.7,2,0,1,Two Year,DSL,Bank Transfer,77.94,0
C00036,24,49,4,54.95,2.5,1,1,1,Month-to-Month,None,Electronic Check,185.1,0
C00037,66,10,4,31.41,13.7,2,1,1,Month-to-Month,DSL,Electronic Check,125.03,0
C00038,33,3,3,35.12,27.1,1,0,1,One Year,Fiber,Electronic Check,104.93,0
C00039,49,34,2,42.53,24.1,1,0,0,Month-to-Month,DSL,Electronic Check,96.48,0
C00040,25,17,2,45.1,5.7,1,1,1,Month-to-Month,DSL,Mailed Check,85.41,0
C00041,66,3,3,105.06,17.1,2,1,1,Two Year,DSL,Electronic Check,279.81,0
C00042,30,20,1,76.12,29.7,2,1,1,Month-to-Month,Fiber,Electronic Check,85.86,1
C00043,79,1,2,72.34,16.5,0,0,0,Month-to-Month,Fiber,Credit Card,135.4,0
C00044,28,72,2,31.48,3.6,1,1,1,Month-to-Month,Fiber,Mailed Check,67.21,0
C00045,37,8,2,106.01,12.6,0,1,1,One Year,Fiber,Bank Transfer,202.94,0
C00046,35,32,2,92.28,26.2,4,0,0,One Year,DSL,Electronic Check,188.35,1
C00047,54,11,1,26.77,14.2,1,0,1,Month-to-Month,Fiber,Mailed Check,28.43,0
C00048,23,22,2,90.78,13.4,2,0,1,Month-to-Month,DSL,Mailed Check,162.78,0
C00049,37,23,3,74.35,11.1,1,0,1,Month-to-Month,Fiber,Electronic Check,206.18,0
C00050,49,6,1,28.17,23.1,0,1,1,One Year,Fiber,Electronic Check,42.77,0
C00051,63,72,4,65.83,16.2,0,0,0,Month-to-Month,DSL,Credit Card,237.42,0
C00052,61,44,2,68.47,9.9,4,0,1,Two Year,Fiber,Credit Card,130.67,0
C00053,46,72,3,36.58,12.1,0,1,1,Month-to-Month,None,Electronic Check,107.82,0
C00054,21,67,2,114.57,39.5,1,0,1,Two Year,Fiber,Electronic Check,236.98,0
C00055,24,27,3,105.0,7.6,2,1,1,Month-to-Month,Fiber,Credit Card,278.96,0
C00056,60,72,1,86.9,5.6,0,0,0,One Year,None,Electronic Check,84.95,0
C00057,37,2,3,66.23,2.1,0,1,1,Month-to-Month,DSL,Bank Transfer,175.94,0
